population,feature,training_mean,population_mean,training_sd,standardized_shift,absolute_shift,shift_level
all_calabria,log_n_points,5.672574522412345,4.730090898726306,0.8000627243990243,-1.1780121669760277,1.1780121669760277,very_high
all_calabria,complex_boundary_flag,0.5344827586206896,0.2000447082784829,0.4994249566815037,-0.6696462518902246,0.6696462518902246,high
all_calabria,large_polygon_flag,0.43349753694581283,0.1946548769280445,0.4961691107008492,-0.48137349719412825,0.48137349719412825,moderate
all_calabria,log_n_observations,5.458958239074294,5.22343496262016,0.5138271510271801,-0.45837063297123315,0.45837063297123315,moderate
all_calabria,log_perimeter_m,7.115533504692916,6.7174038477984315,0.9008774754557171,-0.4419354104653211,0.4419354104653211,moderate
all_calabria,log_area_ha,1.6796213672148592,1.2308093799189215,1.0578755248269616,-0.424257842026689,0.424257842026689,moderate
all_calabria,compactness_raw,0.36412982532728994,0.4299573417219356,0.19139350416396214,0.34393809070057496,0.34393809070057496,moderate
all_calabria,evi_median,0.3413994937428389,0.3637188399192662,0.07516543341529425,0.2969363065215275,0.2969363065215275,moderate
all_calabria,ndvi_median,0.5235408414004824,0.5513053307772572,0.10704012132906258,0.2593839490467432,0.2593839490467432,moderate
all_calabria,bsi_median,-0.023960056955962476,-0.04413383967249195,0.08114054883597706,-0.24862763446806493,0.24862763446806493,minimal
all_calabria,ndmi_median,0.09235028537441038,0.10995912985965388,0.0798877602873626,0.22041980425916424,0.22041980425916424,minimal
all_calabria,ndvi_iqr,0.22761244896564664,0.21424660215447425,0.07063128245578751,-0.18923409495698884,0.18923409495698884,minimal
all_calabria,small_candidate_flag,0.23891625615763548,0.31467176672213804,0.42694760181789027,0.1774351471748405,0.1774351471748405,minimal
all_calabria,evi_stddev,0.11184922552749688,0.11649251358892383,0.028804730863192365,0.16119880041511872,0.16119880041511872,minimal
all_calabria,ndmi_iqr,0.19112044631875766,0.18363562640994016,0.05880564277233633,-0.1272806410397498,0.1272806410397498,minimal
all_calabria,bsi_iqr,0.1925370092280579,0.18574598077766408,0.05759086568709002,-0.11791849921638069,0.11791849921638069,minimal
all_calabria,evi_iqr,0.15711160905005744,0.16200008847205324,0.04676838108696107,0.1045253076625887,0.1045253076625887,minimal
all_calabria,ndvi_stddev,0.1400054800304034,0.13674101086153742,0.03211427444750133,-0.10165165568982557,0.10165165568982557,minimal
all_calabria,ndmi_stddev,0.12375898397624019,0.12202659212765167,0.030255148422807836,-0.057259406709191864,0.057259406709191864,minimal
all_calabria,bsi_stddev,0.1242205393012835,0.12271989148995417,0.030174947214084785,-0.0497315803299524,0.0497315803299524,minimal
central_calabria,log_n_points,5.672574522412345,4.45405629479796,0.8000627243990243,-1.5230283707189192,1.5230283707189192,very_high
central_calabria,complex_boundary_flag,0.5344827586206896,0.12684380682966256,0.4994249566815037,-0.8162166234135332,0.8162166234135332,high
central_calabria,log_n_observations,5.458958239074294,5.095847697018787,0.5138271510271801,-0.7066783865539626,0.7066783865539626,high
central_calabria,large_polygon_flag,0.43349753694581283,0.19413012729844414,0.4961691107008492,-0.48243109956856695,0.48243109956856695,moderate
central_calabria,log_perimeter_m,7.115533504692916,6.708332574224377,0.9008774754557171,-0.4520047859588817,0.4520047859588817,moderate
central_calabria,log_area_ha,1.6796213672148592,1.2312520289246496,1.0578755248269616,-0.42383940999443215,0.42383940999443215,moderate
central_calabria,evi_median,0.3413994937428389,0.37127035220594445,0.07516543341529425,0.3974015329369151,0.3974015329369151,moderate
central_calabria,compactness_raw,0.36412982532728994,0.43643609465131994,0.19139350416396214,0.37778852338732977,0.37778852338732977,moderate
central_calabria,ndvi_median,0.5235408414004824,0.5578261752124382,0.10704012132906258,0.320303577632875,0.320303577632875,moderate
central_calabria,ndvi_iqr,0.22761244896564664,0.20592016208567926,0.07063128245578751,-0.3071201049414036,0.3071201049414036,moderate
central_calabria,bsi_median,-0.023960056955962476,-0.047042216383520644,0.08114054883597706,-0.2844713248639468,0.2844713248639468,moderate
central_calabria,ndmi_iqr,0.19112044631875766,0.17575025491758914,0.05880564277233633,-0.26137273017614304,0.26137273017614304,moderate
central_calabria,bsi_iqr,0.1925370092280579,0.17801396754846666,0.05759086568709002,-0.2521761308208086,0.2521761308208086,moderate
central_calabria,ndmi_median,0.09235028537441038,0.11238074361912659,0.0798877602873626,0.2507325048626356,0.2507325048626356,moderate
central_calabria,ndvi_stddev,0.1400054800304034,0.13427550906430466,0.03211427444750133,-0.17842442542071982,0.17842442542071982,minimal
central_calabria,small_candidate_flag,0.23891625615763548,0.31142655081834714,0.42694760181789027,0.16983417719638605,0.16983417719638605,minimal
central_calabria,evi_stddev,0.11184922552749688,0.11571815153438168,0.028804730863192365,0.13431564506747912,0.13431564506747912,minimal
central_calabria,ndmi_stddev,0.12375898397624019,0.12017711505013601,0.030255148422807836,-0.11838874085324236,0.11838874085324236,minimal
central_calabria,bsi_stddev,0.1242205393012835,0.12076351721044681,0.030174947214084785,-0.11456596978645425,0.11456596978645425,minimal
central_calabria,evi_iqr,0.15711160905005744,0.15897067821518082,0.04676838108696107,0.03975055629286434,0.03975055629286434,minimal
north_calabria,large_polygon_flag,0.43349753694581283,0.1694949700233716,0.4961691107008492,-0.5320818269995327,0.5320818269995327,high
north_calabria,log_perimeter_m,7.115533504692916,6.644851785659081,0.9008774754557171,-0.5224702935276925,0.5224702935276925,high
north_calabria,log_area_ha,1.6796213672148592,1.1635117740851848,1.0578755248269616,-0.4878736496092915,0.4878736496092915,moderate
north_calabria,compactness_raw,0.36412982532728994,0.44922796173426366,0.19139350416396214,0.4446239530369444,0.4446239530369444,moderate
north_calabria,log_n_points,5.672574522412345,5.428627379740141,0.8000627243990243,-0.3049100217179193,0.3049100217179193,moderate
north_calabria,complex_boundary_flag,0.5344827586206896,0.4034142871659384,0.4994249566815037,-0.2624387702321752,0.2624387702321752,moderate
north_calabria,log_n_observations,5.458958239074294,5.587496402214175,0.5138271510271801,0.2501583711232917,0.2501583711232917,moderate
north_calabria,small_candidate_flag,0.23891625615763548,0.34010771263083023,0.42694760181789027,0.23701141789375088,0.23701141789375088,minimal
north_calabria,evi_stddev,0.11184922552749688,0.10986412998336144,0.028804730863192365,-0.06891560811880586,0.06891560811880586,minimal
north_calabria,evi_iqr,0.15711160905005744,0.15451421125347162,0.04676838108696107,-0.05553747502519337,0.05553747502519337,minimal
north_calabria,ndmi_stddev,0.12375898397624019,0.12250504071164242,0.030255148422807836,-0.04144561603447573,0.04144561603447573,minimal
north_calabria,bsi_stddev,0.1242205393012835,0.12298477934109271,0.030174947214084785,-0.04095317719773754,0.04095317719773754,minimal
north_calabria,ndmi_iqr,0.19112044631875766,0.18893451530559205,0.05880564277233633,-0.03717213026015808,0.03717213026015808,minimal
north_calabria,bsi_iqr,0.1925370092280579,0.1905894895024814,0.05759086568709002,-0.03381646902406377,0.03381646902406377,minimal
north_calabria,ndvi_stddev,0.1400054800304034,0.1392965175528651,0.03211427444750133,-0.022076241476271474,0.022076241476271474,minimal
north_calabria,ndmi_median,0.09235028537441038,0.09310955706700633,0.0798877602873626,0.009504230558783779,0.009504230558783779,minimal
north_calabria,bsi_median,-0.023960056955962476,-0.023236163994657992,0.08114054883597706,0.008921469865428319,0.008921469865428319,minimal
north_calabria,ndvi_median,0.5235408414004824,0.5227862741411009,0.10704012132906258,-0.00704938718316481,0.00704938718316481,minimal
north_calabria,ndvi_iqr,0.22761244896564664,0.22803261795926977,0.07063128245578751,0.005948766311671271,0.005948766311671271,minimal
north_calabria,evi_median,0.3413994937428389,0.3416456821772119,0.07516543341529425,0.0032752878974675746,0.0032752878974675746,minimal
south_calabria,log_n_points,5.672574522412345,4.597380385709401,0.8000627243990243,-1.3438873027244063,1.3438873027244063,very_high
south_calabria,complex_boundary_flag,0.5344827586206896,0.1480609939759036,0.4994249566815037,-0.7737333897216859,0.7737333897216859,high
south_calabria,log_n_observations,5.458958239074294,5.123942199329505,0.5138271510271801,-0.6520014348698107,0.6520014348698107,high
south_calabria,large_polygon_flag,0.43349753694581283,0.2189382530120482,0.4961691107008492,-0.43243176430450336,0.43243176430450336,moderate
south_calabria,evi_stddev,0.11184922552749688,0.12407526907593971,0.028804730863192365,0.4244456789584408,0.4244456789584408,moderate
south_calabria,bsi_median,-0.023960056955962476,-0.05807207395092193,0.08114054883597706,-0.42040653513344817,0.42040653513344817,moderate
south_calabria,ndvi_median,0.5235408414004824,0.5655720288116671,0.10704012132906258,0.39266759874059287,0.39266759874059287,moderate
south_calabria,evi_median,0.3413994937428389,0.3700942360141903,0.07516543341529425,0.38175449761343,0.38175449761343,moderate
south_calabria,evi_iqr,0.15711160905005744,0.17457903455197682,0.04676838108696107,0.3734879227365272,0.3734879227365272,moderate
south_calabria,log_area_ha,1.6796213672148592,1.2923222808312342,1.0578755248269616,-0.3661102627806576,0.3661102627806576,moderate
south_calabria,ndmi_median,0.09235028537441038,0.12105460989259086,0.0798877602873626,0.35930816454146103,0.35930816454146103,moderate
south_calabria,log_perimeter_m,7.115533504692916,6.801511507360303,0.9008774754557171,-0.3485734807319524,0.3485734807319524,moderate
south_calabria,compactness_raw,0.36412982532728994,0.4000349429520362,0.19139350416396214,0.18759841292203525,0.18759841292203525,minimal
south_calabria,ndvi_iqr,0.22761244896564664,0.2169915217767328,0.07063128245578751,-0.15037143344469395,0.15037143344469395,minimal
south_calabria,small_candidate_flag,0.23891625615763548,0.2971573795180723,0.42694760181789027,0.13641281298326374,0.13641281298326374,minimal
south_calabria,bsi_stddev,0.1242205393012835,0.1261198937390198,0.030174947214084785,0.0629447476497899,0.0629447476497899,minimal
south_calabria,bsi_iqr,0.1925370092280579,0.19566672292038487,0.05759086568709002,0.05434392511707909,0.05434392511707909,minimal
south_calabria,ndmi_stddev,0.12375898397624019,0.12502958871193695,0.030255148422807836,0.04199631474089603,0.04199631474089603,minimal
south_calabria,ndmi_iqr,0.19112044631875766,0.1934203071742917,0.05880564277233633,0.03910952669011485,0.03910952669011485,minimal
south_calabria,ndvi_stddev,0.1400054800304034,0.138967887012579,0.03211427444750133,-0.03230940245966275,0.03230940245966275,minimal
