population,feature,coefficient,mean_contribution,median_contribution,mean_absolute_contribution,intercept,population_n,mean_score,very_high_percent,training_mean_contribution,contribution_shift_vs_training,absolute_contribution_shift
all_calabria,log_perimeter_m,1.002005504198885,-0.4433680702113306,-0.6374529754320122,0.8122137251888558,1.9277219787460185,40261,0.6849211752387422,44.598991579940886,-8.969289460025895e-17,-0.4433680702113305,0.4433680702113305
all_calabria,ndvi_median,-1.4347931104362968,-0.3726214794159692,-0.39118137609909187,1.35689629303193,1.9277219787460185,40261,0.6849211752387422,44.598991579940886,8.750526302464288e-17,-0.3726214794159693,0.3726214794159693
all_calabria,ndvi_iqr,1.5554479091396838,-0.29470694068152453,-0.49494926123895167,1.380401654756219,1.9277219787460185,40261,0.6849211752387422,44.598991579940886,2.275136838640715e-16,-0.29470694068152475,0.29470694068152475
all_calabria,log_n_points,-0.22038536521428279,0.2599369584137858,0.2757298342190649,0.3184605123739187,1.9277219787460185,40261,0.6849211752387422,44.598991579940886,-1.728228944736697e-16,0.25993695841378595,0.25993695841378595
all_calabria,ndmi_median,1.0608471746443235,0.23412022974934196,0.19786160541285097,0.937717476780259,1.9277219787460185,40261,0.6849211752387422,44.598991579940886,-1.400084208394286e-16,0.2341202297493421,0.2341202297493421
all_calabria,evi_iqr,-2.029594819720897,-0.21240576769170116,0.13162511668289034,1.6632349397751773,1.9277219787460185,40261,0.6849211752387422,44.598991579940886,-2.362642101665358e-16,-0.21240576769170091,0.21240576769170091
all_calabria,evi_median,0.6872378353652027,0.20431764237868283,0.16326925930266814,0.6051108821822461,1.9277219787460185,40261,0.6849211752387422,44.598991579940886,5.687842096601788e-17,0.20431764237868277,0.20431764237868277
all_calabria,bsi_iqr,1.2312237797349315,-0.14536318938115497,-0.3098500779653496,1.0269155257225997,1.9277219787460185,40261,0.6849211752387422,44.598991579940886,4.2877578882075013e-16,-0.1453631893811554,0.1453631893811554
all_calabria,log_area_ha,0.31391596495660273,-0.13334562987086016,-0.21465579155811684,0.24426003134216506,1.9277219787460185,40261,0.6849211752387422,44.598991579940886,-7.437947357094644e-17,-0.13334562987086007,0.13334562987086007
all_calabria,compactness_raw,0.346166038825335,0.11920658310516238,0.10495152303930913,0.2973855608936959,1.9277219787460185,40261,0.6849211752387422,44.598991579940886,-3.172065784643304e-17,0.11920658310516241,0.11920658310516241
all_calabria,bsi_stddev,1.8187351884986924,-0.09056017118930795,-0.30909990907050194,1.5372014590950285,1.9277219787460185,40261,0.6849211752387422,44.598991579940886,4.375263151232144e-16,-0.0905601711893084,0.0905601711893084
all_calabria,ndvi_stddev,-0.7711695540501292,0.07848738091559067,0.19256936666393853,0.6786765821247419,1.9277219787460185,40261,0.6849211752387422,44.598991579940886,1.4875894714189289e-16,0.07848738091559052,0.07848738091559052
all_calabria,ndmi_stddev,-0.9381368950849343,0.05378343862229087,0.17248198657520572,0.8124917940710937,1.9277219787460185,40261,0.6849211752387422,44.598991579940886,-3.93773683610893e-17,0.05378343862229091,0.05378343862229091
all_calabria,ndmi_iqr,-0.3308261169615922,0.042159713078865145,0.08837089474946823,0.27968018355549773,1.9277219787460185,40261,0.6849211752387422,44.598991579940886,7.437947357094644e-17,0.04215971307886507,0.04215971307886507
all_calabria,evi_stddev,-0.24938054213505823,-0.040249443078683715,0.0009827904046677241,0.20500576688713223,1.9277219787460185,40261,0.6849211752387422,44.598991579940886,1.4766513135408485e-16,-0.04024944307868386,0.04024944307868386
all_calabria,bsi_median,0.15814365557089705,-0.0393673948944199,-0.027547697061495888,0.13989766561587058,1.9277219787460185,40261,0.6849211752387422,44.598991579940886,1.367269734760045e-18,-0.0393673948944199,0.0393673948944199
all_calabria,large_polygon_flag,-0.056126006170276105,0.027050906336586793,0.049097180831053716,0.052029443941155225,1.9277219787460185,40261,0.6849211752387422,44.598991579940886,4.375263151232144e-18,0.02705090633658679,0.02705090633658679
all_calabria,log_n_observations,0.05571768113310122,-0.025570859389868358,-0.016360534340885195,0.045449740437964015,1.9277219787460185,40261,0.6849211752387422,44.598991579940886,1.2100337152626397e-16,-0.02557085938986848,0.02557085938986848
all_calabria,small_candidate_flag,-0.12659124029275443,-0.022489448793347154,0.07092678629867319,0.11970570708563946,1.9277219787460185,40261,0.6849211752387422,44.598991579940886,0.0,-0.022489448793347154,0.022489448793347154
all_calabria,complex_boundary_flag,0.015730421769234556,-0.010546814674268311,-0.016855410429513218,0.016420334860185983,1.9277219787460185,40261,0.6849211752387422,44.598991579940886,1.093815787808036e-18,-0.010546814674268313,0.010546814674268313
central_calabria,ndvi_iqr,1.5554479091396838,-0.47829872608127155,-0.6721115171623275,1.3349528096933494,1.9277219787460185,19796,0.6723488241296132,42.65508183471408,2.275136838640715e-16,-0.4782987260812718,0.4782987260812718
central_calabria,ndvi_median,-1.4347931104362968,-0.4601363862275124,-0.5284238934000056,1.3235121188876753,1.9277219787460185,19796,0.6723488241296132,42.65508183471408,8.750526302464288e-17,-0.4601363862275125,0.4601363862275125
central_calabria,log_perimeter_m,1.002005504198885,-0.45347008845900216,-0.6442782975190424,0.8101127842532634,1.9277219787460185,19796,0.6723488241296132,42.65508183471408,-8.969289460025895e-17,-0.45347008845900205,0.45347008845900205
central_calabria,log_n_points,-0.22038536521428279,0.3360672948555683,0.3664744826892599,0.37142691813182727,1.9277219787460185,19796,0.6723488241296132,42.65508183471408,-1.728228944736697e-16,0.33606729485556847,0.33606729485556847
central_calabria,bsi_iqr,1.2312237797349315,-0.31086832774767875,-0.45738256933898414,0.9843561416261642,1.9277219787460185,19796,0.6723488241296132,42.65508183471408,4.2877578882075013e-16,-0.3108683277476792,0.3108683277476792
central_calabria,evi_median,0.6872378353652027,0.27344633345285546,0.23519907898574755,0.6108102556243272,1.9277219787460185,19796,0.6723488241296132,42.65508183471408,5.687842096601788e-17,0.2734463334528554,0.2734463334528554
central_calabria,ndmi_median,1.0608471746443235,0.26631704824058566,0.2785310588072741,0.9345771916258663,1.9277219787460185,19796,0.6723488241296132,42.65508183471408,-1.400084208394286e-16,0.26631704824058583,0.26631704824058583
central_calabria,bsi_stddev,1.8187351884986924,-0.20862224299921608,-0.42237923572529446,1.4774781434543998,1.9277219787460185,19796,0.6723488241296132,42.65508183471408,4.375263151232144e-16,-0.20862224299921653,0.20862224299921653
central_calabria,ndvi_stddev,-0.7711695540501292,0.13776525082260202,0.25119034136192414,0.666184924944552,1.9277219787460185,19796,0.6723488241296132,42.65508183471408,1.4875894714189289e-16,0.13776525082260188,0.13776525082260188
central_calabria,log_area_ha,0.31391596495660273,-0.13321411531208882,-0.21333445359344805,0.24342511230802685,1.9277219787460185,19796,0.6723488241296132,42.65508183471408,-7.437947357094644e-17,-0.13321411531208874,0.13321411531208874
central_calabria,compactness_raw,0.346166038825335,0.13093891088833973,0.11926688482606088,0.29938078753012337,1.9277219787460185,19796,0.6723488241296132,42.65508183471408,-3.172065784643304e-17,0.13093891088833975,0.13093891088833975
central_calabria,ndmi_stddev,-0.9381368950849343,0.11120187831475484,0.24034112008214747,0.7920861160849031,1.9277219787460185,19796,0.6723488241296132,42.65508183471408,-3.93773683610893e-17,0.11120187831475488,0.11120187831475488
central_calabria,ndmi_iqr,-0.3308261169615922,0.08657561134866117,0.12777601980651476,0.26919350138544407,1.9277219787460185,19796,0.6723488241296132,42.65508183471408,7.437947357094644e-17,0.0865756113486611,0.0865756113486611
central_calabria,evi_iqr,-2.029594819720897,-0.08077706360657796,0.1825192333256766,1.5175940874283762,1.9277219787460185,19796,0.6723488241296132,42.65508183471408,-2.362642101665358e-16,-0.08077706360657773,0.08077706360657773
central_calabria,bsi_median,0.15814365557089705,-0.04504284089746367,-0.040147744769923235,0.13819297808938472,1.9277219787460185,19796,0.6723488241296132,42.65508183471408,1.367269734760045e-18,-0.04504284089746367,0.04504284089746367
central_calabria,log_n_observations,0.05571768113310122,-0.039423061506570115,-0.06760422652837997,0.05429085205867727,1.9277219787460185,19796,0.6723488241296132,42.65508183471408,1.2100337152626397e-16,-0.03942306150657023,0.03942306150657023
central_calabria,evi_stddev,-0.24938054213505823,-0.03353703561563933,0.00031372079335274003,0.18954600695722926,1.9277219787460185,19796,0.6723488241296132,42.65508183471408,1.4766513135408485e-16,-0.03353703561563948,0.03353703561563948
central_calabria,large_polygon_flag,-0.056126006170276105,0.027110338571512592,0.049097180831053716,0.052021539161140475,1.9277219787460185,19796,0.6723488241296132,42.65508183471408,4.375263151232144e-18,0.02711033857151259,0.02711033857151259
central_calabria,small_candidate_flag,-0.12659124029275443,-0.02152604538747189,0.07092678629867319,0.11920264914956669,1.9277219787460185,19796,0.6723488241296132,42.65508183471408,0.0,-0.02152604538747189,0.02152604538747189
central_calabria,complex_boundary_flag,0.015730421769234556,-0.012855273119053878,-0.016855410429513218,0.01657953889086085,1.9277219787460185,19796,0.6723488241296132,42.65508183471408,1.093815787808036e-18,-0.01285527311905388,0.01285527311905388
north_calabria,log_perimeter_m,1.002005504198885,-0.5241640300790015,-0.7124487662869355,0.8305749916366304,1.9277219787460185,9841,0.7450387927221126,54.82166446499339,-8.969289460025895e-17,-0.5241640300790014,0.5241640300790014
north_calabria,compactness_raw,0.346166038825335,0.1541036123689679,0.1520886167168099,0.30589636497781786,1.9277219787460185,9841,0.7450387927221126,54.82166446499339,-3.172065784643304e-17,0.15410361236896794,0.15410361236896794
north_calabria,log_area_ha,0.31391596495660273,-0.15334028663742133,-0.22924351251131428,0.244510971168328,1.9277219787460185,9841,0.7450387927221126,54.82166446499339,-7.437947357094644e-17,-0.15334028663742125,0.15334028663742125
north_calabria,evi_iqr,-2.029594819720897,0.11285764454733126,0.37622399288034725,1.6137437963720405,1.9277219787460185,9841,0.7450387927221126,54.82166446499339,-2.362642101665358e-16,0.11285764454733149,0.11285764454733149
north_calabria,bsi_stddev,1.8187351884986924,-0.07457488206019115,-0.26684645963048903,1.5155026851501219,1.9277219787460185,9841,0.7450387927221126,54.82166446499339,4.375263151232144e-16,-0.0745748820601916,0.0745748820601916
north_calabria,log_n_points,-0.22038536521428279,0.06728061547843922,0.08585166572208389,0.18984198354257587,1.9277219787460185,9841,0.7450387927221126,54.82166446499339,-1.728228944736697e-16,0.06728061547843939,0.06728061547843939
north_calabria,bsi_iqr,1.2312237797349315,-0.04168701114425352,-0.19217602755651972,1.0376373636513816,1.9277219787460185,9841,0.7450387927221126,54.82166446499339,4.2877578882075013e-16,-0.04168701114425395,0.04168701114425395
north_calabria,ndmi_stddev,-0.9381368950849343,0.03892963399838037,0.1295409181351855,0.7744794240239842,1.9277219787460185,9841,0.7450387927221126,54.82166446499339,-3.93773683610893e-17,0.03892963399838041,0.03892963399838041
north_calabria,small_candidate_flag,-0.12659124029275443,-0.030040587961458393,0.07092678629867319,0.12364866645420987,1.9277219787460185,9841,0.7450387927221126,54.82166446499339,0.0,-0.030040587961458393,0.030040587961458393
north_calabria,large_polygon_flag,-0.056126006170276105,0.029900473851305138,0.049097180831053716,0.0516504374244193,1.9277219787460185,9841,0.7450387927221126,54.82166446499339,4.375263151232144e-18,0.029900473851305134,0.029900473851305134
north_calabria,evi_stddev,-0.24938054213505823,0.01720741617845577,0.045354782307775905,0.19552963335606835,1.9277219787460185,9841,0.7450387927221126,54.82166446499339,1.4766513135408485e-16,0.01720741617845562,0.01720741617845562
north_calabria,ndvi_stddev,-0.7711695540501292,0.01704553026878214,0.08495043526205155,0.6311183019569354,1.9277219787460185,9841,0.7450387927221126,54.82166446499339,1.4875894714189289e-16,0.01704553026878199,0.01704553026878199
north_calabria,log_n_observations,0.05571768113310122,0.013955441455154564,0.0028053177235211274,0.03452790820607544,1.9277219787460185,9841,0.7450387927221126,54.82166446499339,1.2100337152626397e-16,0.013955441455154443,0.013955441455154443
north_calabria,ndmi_iqr,-0.3308261169615922,0.012312684266015336,0.053069754848128016,0.2767951470019679,1.9277219787460185,9841,0.7450387927221126,54.82166446499339,7.437947357094644e-17,0.012312684266015261,0.012312684266015261
north_calabria,ndvi_median,-1.4347931104362968,0.010126891393320061,0.10739701967965153,1.196041515155614,1.9277219787460185,9841,0.7450387927221126,54.82166446499339,8.750526302464288e-17,0.010126891393319975,0.010126891393319975
north_calabria,ndmi_median,1.0608471746443235,0.010094976036712767,-0.11571684658969231,0.8660826772401111,1.9277219787460185,9841,0.7450387927221126,54.82166446499339,-1.400084208394286e-16,0.010094976036712907,0.010094976036712907
north_calabria,ndvi_iqr,1.5554479091396838,0.00926441253062918,-0.12834686245198773,1.2894444553906743,1.9277219787460185,9841,0.7450387927221126,54.82166446499339,2.275136838640715e-16,0.009264412530628954,0.009264412530628954
north_calabria,complex_boundary_flag,0.015730421769234556,-0.0041333660349306,-0.016855410429513218,0.015978028057473035,1.9277219787460185,9841,0.7450387927221126,54.82166446499339,1.093815787808036e-18,-0.004133366034930601,0.004133366034930601
north_calabria,evi_median,0.6872378353652027,0.0022536789426706324,-0.09166482222954031,0.5746225878810174,1.9277219787460185,9841,0.7450387927221126,54.82166446499339,5.687842096601788e-17,0.0022536789426705756,0.0022536789426705756
north_calabria,bsi_median,0.15814365557089705,0.0014126146032897914,0.025490137349139158,0.13025932225990322,1.9277219787460185,9841,0.7450387927221126,54.82166446499339,1.367269734760045e-18,0.00141261460328979,0.00141261460328979
south_calabria,evi_iqr,-2.029594819720897,-0.7589644147091539,-0.2441531704843875,1.9804552574792014,1.9277219787460185,10624,0.6526607073267003,38.75188253012048,-2.362642101665358e-16,-0.7589644147091537,0.7589644147091537
south_calabria,ndvi_median,-1.4347931104362968,-0.564091888103178,-0.656248207600604,1.5681015811005,1.9277219787460185,10624,0.6526607073267003,38.75188253012048,8.750526302464288e-17,-0.5640918881031781,0.5640918881031781
south_calabria,ndmi_median,1.0608471746443235,0.38164134260074684,0.3716010847848972,1.009924098315552,1.9277219787460185,10624,0.6526607073267003,38.75188253012048,-1.400084208394286e-16,0.381641342600747,0.381641342600747
south_calabria,log_perimeter_m,1.002005504198885,-0.34970348114048583,-0.5440178163303737,0.7991204461648007,1.9277219787460185,10624,0.6526607073267003,38.75188253012048,-8.969289460025895e-17,-0.3497034811404857,0.3497034811404857
south_calabria,log_n_points,-0.22038536521428279,0.29653851438377987,0.3265301111059376,0.3389059165386105,1.9277219787460185,10624,0.6526607073267003,38.75188253012048,-1.728228944736697e-16,0.29653851438378004,0.29653851438378004
south_calabria,evi_median,0.6872378353652027,0.26267983135359557,0.25712996256714893,0.6227323531497679,1.9277219787460185,10624,0.6526607073267003,38.75188253012048,5.687842096601788e-17,0.2626798313535955,0.2626798313535955
south_calabria,ndvi_iqr,1.5554479091396838,-0.23418351289419537,-0.49457307420932184,1.5493413324502037,1.9277219787460185,10624,0.6526607073267003,38.75188253012048,2.275136838640715e-16,-0.2341835128941956,0.2341835128941956
south_calabria,log_area_ha,0.31391596495660273,-0.11506965518766259,-0.20100773600315616,0.24558331432131886,1.9277219787460185,10624,0.6526607073267003,38.75188253012048,-7.437947357094644e-17,-0.11506965518766252,0.11506965518766252
